Message,Criticality
"UTTI TWR OPR HR MON-THU 0530-1300, FRI 0530-1130, SAT-SUN CLSD",3.0
RWY 13 FICON 5/5/5 100 PRCT WET OBSERVED AT,1.0
TWY C WIP IRREGULAR SFC ADJ NORTHWEST SHOULDER,0.0
AD DETERIORATED PERIMETER WIRING,0.0
"TWR LTD VIS TO THE RIGHT TRAFFIC CIRCUIT RWY33 AND
CIRCUIT OF TRANSIT LEFT TO RWY15 DUE TO PRESENCE
OF GREAT TREE TREES",1.0
"RWY 16/34 CTN DUE TO FENCES IN BAD CONDITION, POSS
PRESENCE OF PEOPLE AND ANIMALS",0.0
AIRFIELD SHALL BE REMAIN CLSD DUE TO VVIP MOV,4.0
"SBR 425 DEACTIVATED
REF: AIP ENR 5, ENR 6 ENRC L2/L5
AIP AD 2.24 (ARC RIO/ SAO PAULO)",2.0
"WIND POWER STATION ERECTED NW OF VILLAGE OF SUEDERMARSCH, 
542706N 0090158E. ELEV 578FT/578FT AGL. DAY AND NIGHT MARKED",0.0
"CHANGED AWY DESIGNATOR V47 BY V280 BTN VOR/DME/CJS AND VOR/DME/CUU
   PUBLISHED IN CHARTS MMCS-TMA, MMCS-SID-2 AND MMCS-IAC-2 AMDT AIRAC
   04/18 DATE 29-MAR-18 AIP/MEX",1.0
TWY D LIGHTS OTS,1.0
"IAP PLATTSBURGH INTL, Plattsburgh, NY.
ILS OR LOC RWY 35, AMDT 2...
ALTERNATE MISSED APPROACH: WHEN DIRECTED BY ATC, CLIMB TO 700 THEN
CLIMBING RIGHT TURN TO 3000 ON HEADING 100 AND THE BTV R-014 TO
JUTEK/BTV 20 DME AND HOLD N, RT, 194.00 INBOUND.
RADAR REQUIRED EXCEPT FOR AIRCRAFT EQUIPPED WITH SUITABLE RNAV
SYSTEM WITH GPS.
DISREGARD NOTE: GPS REQUIRED.",2.0
SIGNAL FLARES NOT AVAILABLE AT KASTORIA AFIS TOWER.,0.0
"TRIGGER NOTAM - PERM AIRAC AIP AMDT 067/18 WEF 19 JUL 2018.
CHANGES IN THE FLW PAGES:
1. REVISION TO SID - ICAO (RWY02/20) (REF RPVI AD 2-22 AND 2-24).
2. REVISION TO SID (RNAV SID RWY20) (REF RPVI AD 2-32).",1.0
"ERFURT DVOR/DME ERF FREQ 113.85/CH85Y ON MAINT. DO NOT USE, FALSE 
INDICATIONS POSS.",3.0
"TWY 'C' AND 'D' USABLE IN VMC ONLY
INSERT INFO INTO RUN AIP PAGE AD 2 FMCZ.20.",1.0
"DME 'MLP' CH 36X ASSOCIATED WITH ILS RWY35R, NEW LIMITATIONS:
SECTOR 070DEG/140DEG NOT USABLE
SECTOR 140DEG/200DEG AT 25NM MRA 2700FT
SECTOR 200DEG/240DEG AT 25NM MRA 4000FT
SECTOR 240DEG/260DEG AT 25NM MRA 6000FT
SECTOR 260DEG/280DEG AT 25NM MRA 8000FT
SECTOR 280DEG/070DEG AT 25NM MRA 10000FT
DME UNLOCKS MAY OCCUR EAST OF THE FIELD
REF AIP AD 2 LIMC 1-9",1.0
"STAND 1 , 2 , 3 , 4 , 7 , 10  AND 10A NOT AVBL DUE TO WIP STOP",0.0
"WIND POWER STATION ERECTED SE OF CITY OF LUEDENSCHEID, 511112N
0074030E. ELEV 2149FT/635FT AGL. DAY AND NIGHT MARKED.",0.0
LOCATOR'SKG'320KHZ U/S,0.0
TWY L EDGE LGT OUT OF SERVICE,1.0
NAV TACAN OUT OF SERVICE,1.0
